form	type	evidential	form_base	base_label	form_aux	aux_type	aux_morph	deriv_stem	lex_type	struct	res	cr	exp	semnr	formnr	meaning	lang	variant	gltc	lat	lon	aff	datapoint	comment	ref	source
-ib-li=[person]  	perfectoid	unwitnessed	-ib-li 	perfective converb	=[person] 	person clitic	full		converb	analytic	resultative	current relevance		3	1	res, cr, evidential	Dargwa	Akusha	darg1241	42.275664	47.340107	Dargwa	village Akusha			Belyaev, Oleg. 2018. ‘Aorist, resultative and perfect in Shiri Dargwa and beyond’. Diana Forker & Timur Maisak (eds.) The semantics of verbal categories in Nakh-Daghestanian languages. Leiden: Brill, 80-119.
-ib-li=[person]	perfectoid	unwitnessed	-ib-li 	perfective converb	=[person]	person clitic	full		converb	analytic	resultative	current relevance		3	1	res, cr, evidential	Dargwa	Ashti	darg1241	41.961098	47.502559	Dargwa	village Ashty			Belyaev, Oleg. 2018. ‘Aorist, resultative and perfect in Shiri Dargwa and beyond’. Diana Forker & Timur Maisak (eds.) The semantics of verbal categories in Nakh-Daghestanian languages. Leiden: Brill, 80-119.
-ib-li=[person] 	perfectoid	unwitnessed	-ib-li 	perfective converb	=[person]	person clitic	full		converb	analytic	resultative	current relevance		3	1	res, cr, evidential	Dargwa	Tanti	darg1241	42.1642	47.3167	Dargwa	village Tanty			Belyaev, Oleg. 2018. ‘Aorist, resultative and perfect in Shiri Dargwa and beyond’. Diana Forker & Timur Maisak (eds.) The semantics of verbal categories in Nakh-Daghestanian languages. Leiden: Brill, 80-119.
-li=ra/ri/sa<cm>i 	perfectoid	unwitnessed	-li 	past converb	=ra/ri/sa<cm>i	person clitic	full	preterite	converb	analytic	resultative			2	2	res, evidential	Dargwa	Dargwa Standard	darg1241	42.275664	47.340107	Dargwa	glottolog point North Dargwa			Mutalov, Rasul. 2018. ‘The tense/aspect system of Standard Dargwa.’ Diana Forker & Timur Maisak (eds.) The semantics of verbal categories in Nakh-Daghestanian languages. Leiden: Brill, 49-79.
-ib-li=da/di/ca<cm>i 	perfectoid	unwitnessed	-ib-li 	perfective converb	=da/di/ca<cm>i	person clitic	full	bare	converb	analytic	resultative			2	3	res, evidential	Dargwa	Shiri	darg1241	42.060627	47.589895	Dargwa	village Shiri			Belyaev, Oleg. 2018. ‘Aorist, resultative and perfect in Shiri Dargwa and beyond’. Diana Forker & Timur Maisak (eds.) The semantics of verbal categories in Nakh-Daghestanian languages. Leiden: Brill, 80-119.
-á/ú cmV=k'-at-á-da	perfectoid		-á/ú 	past converb	cmV=k'-at-á-da	auxiliary	full	past	converb	analytic		current relevance		1	4	cr	Godoberi	Godoberi	ghod1238	42.74276	46.22524	Andic	glottolog point Godoberi	Auxiliary is the present progressive of the existential verb ‘be’.		Dobrushina, Nina R., Sergei G. Tatevosov. 1996 ‘Usage of verbal forms’. Alexandr E. Kibrik, Sergej G. Tatevosov & Alexander Eulenberg (eds.) Godoberi. München: Lincom Europa, 91-106.; Kibrik, Alexandr E., Tatevosov, Sergei G. 1996. ‘Verbs’. Alexandr E. Kibrik, Sergej G. Tatevosov & Alexander Eulenberg (eds.) Godoberi. München: Lincom Europa, 44-73.
-á/ú-da 	perfectoid	unwitnessed	-á/ú 	past converb	-da	copula	reduced	past	converb	synthetic		current relevance		2	4	cr, evidential	Godoberi	Godoberi	ghod1238	42.74276	46.22524	Andic	glottolog point Godoberi			Dobrushina, Nina R., Sergei G. Tatevosov. 1996 ‘Usage of verbal forms’. Alexandr E. Kibrik, Sergej G. Tatevosov & Alexander Eulenberg (eds.) Godoberi. München: Lincom Europa, 91-106.; Kibrik, Alexandr E., Tatevosov, Sergei G. 1996. ‘Verbs’. Alexandr E. Kibrik, Sergej G. Tatevosov & Alexander Eulenberg (eds.) Godoberi. München: Lincom Europa, 44-73.
-bú-da 	perfectoid		-bú 	past participle	-da	copula	reduced	past	participle	synthetic	resultative			1	4	res	Godoberi	Godoberi	ghod1238	42.74276	46.22524	Andic	glottolog point Godoberi			Dobrushina, Nina R., Sergei G. Tatevosov. 1996 ‘Usage of verbal forms’. Alexandr E. Kibrik, Sergej G. Tatevosov & Alexander Eulenberg (eds.) Godoberi. München: Lincom Europa, 91-106.; Kibrik, Alexandr E., Tatevosov, Sergei G. 1996. ‘Verbs’. Alexandr E. Kibrik, Sergej G. Tatevosov & Alexander Eulenberg (eds.) Godoberi. München: Lincom Europa, 44-73.
-bú cmV=k'-at-á-da 	perfectoid	unwitnessed	-bú 	past participle	cmV=k'-at-á-da	auxiliary	full	past	participle	analytic	resultative			2	4	res, evidential	Godoberi	Godoberi	ghod1238	42.74276	46.22524	Andic	glottolog point Godoberi			
-no/n	perfectoid	unwitnessed	-no/n	narrative converb		no auxiliary	defective	bare	converb	synthetic				1	2	evidential	Hinuq	Hinuq	hinu1240	42.45022	45.80638	Tsezic	glottolog point Hinuq	Copula reappears under negation.		Khalilova, Zaira A. 2011. ‘Evidentiality in Tsezic languages’. Linguistic Discovery 9(2), 30-48.
-s/š/iš goɬ 	perfectoid		-s/š/iš 	resultative participle	goɬ	copula	full		participle	analytic	resultative	current relevance		2	2	res, cr	Hinuq	Hinuq	hinu1240	42.45022	45.80638	Tsezic	glottolog point Hinuq			Forker, Diana. 2013. A grammar of Hinuq. Berlin/Boston: De Gruyter Mouton.
-un lo/li 	perfectoid	unwitnessed	-un 	perfective converb	lo/li	copula	full		converb	analytic		current relevance		2	1	cr, evidential	Hunzib	Hunzib	hunz1247	42.08076	46.13691	Tsezic	glottolog point Hunzib			Khalilova, Zaira A. 2011. ‘Evidentiality in Tsezic languages’. Linguistic Discovery 9(2), 30-48.; van den Berg, Helma. 1995. A grammar of Hunzib (with texts and lexicon). Leiden: Dissertation.
-na<cm>(y) 	perfectoid	unwitnessed	-na<cm>(y) < -na 	anterior converb	=cm-y 	copula	reduced	perfective	converb	synthetic	resultative	current relevance		3	1	res, cr, evidential	Ingush	Ingush	ingu1240	43.16667	44.81667	Nakh	glottolog point Ingush	Converb is equal to participle.		Nichols, Johanna. 2011. Ingush grammar. Berkley: University of California Press.; Molochieva, Zarina & Johanna Nichols. 2018. ‘Tense, aspect, mood and evidentiality in Chechen and Ingush.’ Diana Forker & Timur Maisak (eds.) The semantics of verbal categories in Nakh-Daghestanian languages. Leiden/Boston: Brill, 26-48.
-cm-oxa ida	perfectoid		-cm-oxa	past converb	ida	copula	full	past	converb	analytic				NA	1	cr	Karata	Karata	kara1474	42.5942	46.3419	Andic	village Karata	Labeled прошедшее несовершенное. It is unclear what that means, and no phrasal examples are provided.		Magomedbekova, Zagidat M. 1971. Karatinskij jazyk. Grammatičeskij analiz, teksty, slovar’ [Karata. Grammatical analysis, texts, dictionary]. Tbilisi: Mecniereba.
res.stem-(q)omæ	perfectoid			resultative stem	-(q)omæ	copula	full		stem	analytic	resultative	current relevance		2	2	res, cr	Khinalug	Khinalug	khin1240	41.18014	48.05714	Khinalug	glottolog point Khinalugh	Also expresses spatial deixis “lower than the speaker”. As a result, it does not combine with first person (see page 169 on Present Definite II).		Kibrik, Alexander E., Sandro V. Kodzasov & I. P. Olovjannikova. 1972. Fragmenty grammatiki xinalugskogo jazyka [Fragments of the grammar of Khinalug]. Moscow: Izdatel’stvo Moskovskogo Universiteta.
res.stem-athmæ	perfectoid			resultative stem	-athmæ	copula	full		stem	analytic	resultative	current relevance		2	2	res, cr	Khinalug	Khinalug	khin1240	41.18014	48.05714	Khinalug	glottolog point Khinalugh			Kibrik, Alexander E., Sandro V. Kodzasov & I. P. Olovjannikova. 1972. Fragmenty grammatiki xinalugskogo jazyka [Fragments of the grammar of Khinalug]. Moscow: Izdatel’stvo Moskovskogo Universiteta.
-un	perfectoid	unwitnessed	-un	perfective converb		no auxiliary	no auxiliary		converb	synthetic				1	2	evidential	Xvarshi	Inkhoqwari	khva1239	42.410888	46.044877	Tsezic	glottolog point Inxokvari			Khalilova, Zaira A. 2011. ‘Evidentiality in Tsezic languages’. Linguistic Discovery 9(2), 30-48.
-un goli 	perfectoid		-un 	perfective converb	goli	copula	full		converb	analytic	resultative			1	2	res	Xvarshi	Inkhoqwari	khva1239	42.410888	46.044877	Tsezic	glottolog point Inxokvari	There is also a difficult to evaluate General Resultative Tense with a present tense auxiliary and a future-like meaning. 		Khalilova, Zaira A. 2009. A grammar of Khwarshi. Utrecht/Leiden: Dissertation.
džija-cm	perfectoid		džija-cm < -dži		ja-cm	copula	reduced	perfective	converb	synthetic	resultative			1	2	res	Kryz	Alyk	kryt1240	41.1775	48.23694	Lezgic	village Alyk			Maisak, Timur A. To appear. ‘Structural and functional variations of the perfect in Lezgic languages’. Kristin Melum Eide & Mark Fryd (eds.) The Perfect Volume. Amsterdam: John Benjamins.
dža	perfectoid		dža < -dži		ja-cm	copula	reduced	perfective	converb	synthetic	resultative	current relevance	experiential	3	2	res, cr	Kryz	Alyk	kryt1240	41.1775	48.23694	Lezgic	village Alyk			Maisak, Timur A. To appear. ‘Structural and functional variations of the perfect in Lezgic languages’. Kristin Melum Eide & Mark Fryd (eds.) The Perfect Volume. Amsterdam: John Benjamins.
-ʁAn-[person]	perfectoid	unwitnessed	-ʁAn-[person]	past participle		no auxiliary	no auxiliary		participle	synthetic	resultative	current relevance		3	2	res, cr, evidential	Kumyk	Kumyk	kumy1244	43	47	Turkic	glottolog point Kumyk			Johanson, Lars. 2018. ‘Turkic indirectivity’. Alexandra Y. Aikhenvald (ed.) The Oxford handbook of evidentiality. Oxford: Oxford University Press, 510-524.; Abdullaeva, Ajšat Z., Nurmagomed É. Gadžiaxmedov, Kalsyn S. Kadyradžiev, Ibragim A. Kerimov, Nurammat X. Ol’mesov, Džangiši M. Xangišiev. 2014. Sovremennyj kumykskij jazyk [The contemporary Kumyk language]. Makhachkala: IJaLI.
-Ip tur-a 	perfectoid		-Ip	past converb	tur-a	auxiliary	full		converb	analytic		current relevance		1	2	cr	Kumyk	Kumyk	kumy1244	43	47	Turkic	glottolog point Kumyk			Johanson, Lars. 2018. ‘Turkic indirectivity’. Alexandra Y. Aikhenvald (ed.) The Oxford handbook of evidentiality. Oxford: Oxford University Press, 510-524.; Abdullaeva, Ajšat Z., Nurmagomed É. Gadžiaxmedov, Kalsyn S. Kadyradžiev, Ibragim A. Kerimov, Nurammat X. Ol’mesov, Džangiši M. Xangišiev. 2014. Sovremennyj kumykskij jazyk [The contemporary Kumyk language]. Makhachkala: IJaLI.
-unu cm-ur 	perfectoid	unwitnessed	-unu 	past gerund	cm-ur	copula	full		converb	analytic		current relevance		2	1	cr, evidential	Lak	Lak	lakk1252	42.13275	47.0809	Lak	glottolog point Lak	Interpretation (at least for transitive verbs) depends on case form of the subject. According to Friedman (1984) there is no “pure resultative” in Lak.		Friedman, Victor A. 2007. ‘The expression of speaker subjectivity in Lak (Daghestan)’. Zlata Guentchéva & John Landabaru (eds.) L'énonciation médiatisée II. Le traitement épistémologique de l'information:  illustrations amérindiennes et caucasiennes. Louvain/Paris: Peeters, 351-376.
-nwa	perfectoid		-nwa < -na 		awa 	copula	reduced	perfective	converb	synthetic	resultative	current relevance		2	1	res, cr	Lezgian	Lezgian	lezg1247	41.51572	47.89507	Lezgic	glottolog point Lezgian	Auxiliary ‘be in’.		Maisak, Timur A. To appear. ‘Structural and functional variations of the perfect in Lezgic languages’. Kristin Melum Eide & Mark Fryd (eds.) The Perfect Volume. Amsterdam: John Benjamins.; Greed, Teija. 2017. Evidential coding in Lezgi. Languages of the Caucasus. Volume 2, issue 0 <https://escholarship.org/uc/languagesofcaucasus>.
-Ip(tI)-[person]	perfectoid	unwitnessed	-Ip(tI)-[person] < -Ip 	past converb	tur-a	auxiliary	reduced		converb	synthetic	resultative	current relevance		1	2	res, cr, evidential	Nogai	Nogai	noga1249	43.59168	46.66178	Turkic	glottolog point Nogai	Is said to originate from converb -Ib + auxiliary tur-ur ‘stands’.		Johanson, Lars. 2018. ‘Turkic indirectivity’. Alexandra Y. Aikhenvald (ed.) The Oxford handbook of evidentiality. Oxford: Oxford University Press, 510-524.; Nikolaj A. Baskakov. 1940. Nogajskij jazyk i ego dialekty. Grammatika, teksty i slovar’ [The Nogai language and its dialects. Grammar, texts and dictionary]. Leningrad: Izdatel’stvo akademii nauk SSSR.
-ʁAn-[person]	perfectoid	unwitnessed	-ʁAn-[person]	past participle		no auxiliary	no auxiliary		participle	synthetic	resultative	current relevance		2	2	res, cr, evidential	Nogai	Nogai	noga1249	43.59168	46.66178	Turkic	glottolog point Nogai	No evidential meaning according to Baskakov (1940), though it seems to appear as a narrative tense in the fairy tales he recorded.		Johanson, Lars. 2018. ‘Turkic indirectivity’. Alexandra Y. Aikhenvald (ed.) The Oxford handbook of evidentiality. Oxford: Oxford University Press, 510-524.; Nikolaj A. Baskakov. 1940. Nogajskij jazyk i ego dialekty. Grammatika, teksty i slovar’ [The Nogai language and its dialects. Grammar, texts and dictionary]. Leningrad: Izdatel’stvo akademii nauk SSSR.
-d i 	perfectoid		-d 	perfective participle	i	copula	full	perfective	participle	analytic			experiential	1	2	cr	Rutul	Rutul	rutu1240	41.61866	47.32436	Lezgic	glottolog point Rutul			Maisak, Timur A. To appear. ‘Structural and functional variations of the perfect in Lezgic languages’. Kristin Melum Eide & Mark Fryd (eds.) The Perfect Volume. Amsterdam: John Benjamins.
pf.stem a // ʔa	perfectoid			perfective stem	a // ʔa	copula	full	perfective	converb	analytic	resultative	current relevance		2	2	res, cr	Rutul	Rutul	rutu1240	41.61866	47.32436	Lezgic	glottolog point Rutul	Converb is equal to perfective stem.		Maisak, Timur A. To appear. ‘Structural and functional variations of the perfect in Lezgic languages’. Kristin Melum Eide & Mark Fryd (eds.) The Perfect Volume. Amsterdam: John Benjamins.
-na	perfectoid		-na < -un 		a	copula	reduced	perfective	converb	synthetic	resultative	current relevance		2	1	res, cr	Tabasaran	Tabasaran	taba1259	42.01976	47.83791	Lezgic	glottolog point Tabasaran			Maisak, Timur A. To appear. ‘Structural and functional variations of the perfect in Lezgic languages’. Kristin Melum Eide & Mark Fryd (eds.) The Perfect Volume. Amsterdam: John Benjamins.
-(w)oː	perfectoid	unwitnessed	-(w)oː < o 	past converb / witnessed past	ija	copula	reduced	bare	converb	synthetic	resultative			2	1	res, evidential	Tindi	Tindi	tind1238	42.454716	46.13469	Andic	village Tindi	Copula reappears in negation. Converb is equal to Past.		Magomedova, Patimat T. 2012. Tindinskij jazyk [The Tindi language]. Makhachkala: IJaLI.; Authier, Gilles (Unpublished).
pf.stem wo-cm-un	perfectoid		prf.stem	perfective stem	wo-cm-un	copula	full	perfective	converb	analytic	resultative	current relevance		2	2	res, cr	Tsakhur	Mishlesh	tsak1249	41.6649	47.089775	Lezgic	village Mishlesh	Converb is equal to perfective stem and Aorist.		Maisak, Timur A. To appear. ‘Structural and functional variations of the perfect in Lezgic languages’. Kristin Melum Eide & Mark Fryd (eds.) The Perfect Volume. Amsterdam: John Benjamins.; Maisak, Timur A. & Sergei G. Tatevosov. 2007. ‘Beyond evidentiality and mirativity: evidence from Tsakhur’. Zlata Guentchéva & John Landabaru (eds.) L'énonciation médiatisée II. Le traitement épistémologique de l'information:  illustrations amérindiennes et caucasiennes. Louvain/Paris: Peeters, 377-406.
pf.stem wo-cm	perfectoid	unwitnessed	prf.stem	perfective stem	wo-cm	copula	full	perfective	converb	analytic	resultative	current relevance		3	2	res, cr, evidential	Tsakhur	Mishlesh	tsak1249	41.6649	47.089775	Lezgic	village Mishlesh	Converb is equal to perfective stem and Aorist.		Maisak, Timur A. To appear. ‘Structural and functional variations of the perfect in Lezgic languages’. Kristin Melum Eide & Mark Fryd (eds.) The Perfect Volume. Amsterdam: John Benjamins.; Maisak, Timur A. & Sergei G. Tatevosov. 2007. ‘Beyond evidentiality and mirativity: evidence from Tsakhur’. Zlata Guentchéva & John Landabaru (eds.) L'énonciation médiatisée II. Le traitement épistémologique de l'information:  illustrations amérindiennes et caucasiennes. Louvain/Paris: Peeters, 377-406.
-no/n	perfectoid	unwitnessed	-no/n	perfective converb		no auxiliary	defective		converb	synthetic				1	1	evidential	Tsez	Tsez	dido1241	42.26458	45.80959	Tsezic	glottolog point Tsez	Copula reappears under negation.		Khalilova, Zaira A. 2011. ‘Evidentiality in Tsezic languages’. Linguistic Discovery 9(2), 30-48.
-e=[person]	suffix		-e=[person]			no auxiliary	no auxiliary	perfective	unclear	synthetic	resultative	current relevance	experiential	3	2	res, cr	Udi	Udi	udii1243	40.94	47.66833	Lezgic	village Nizh	Reconstructed as analytic by Maisak (2018: 158), based on negation. Reconstructed form of the lexical verb is the form in -i, which functions as Aorist, Perfective Participle and Aorist Converb.		Maisak, Timur. 2018. ‘The Aorist/Perfect distinction in Nizh Udi’. In Diana Forker & Timur Maisak (eds.) The semantics of verbal categories in Nakh-Daghestanian languages. Leiden/Boston: Brill, 120-165.
<person>-ijo	perfectoid		<person>-ijo	substantivized participle		no auxiliary	no auxiliary	perfective	participle	synthetic	resultative	current relevance	experiential	3	2	res, cr	Udi	Udi	udii1243	40.94	47.66833	Lezgic	village Nizh			Maisak, Timur A. 2016. ‘Perfekt i aorist v nidžskom dialekte udinskogo jazyka’ [The perfect and aorist in the Nizh dialect of Udi].’ Timur A. Maisak, Vladimir A. Plungian, Ksenia P. Semënova (eds.) Tipologija perfekta [Typology of the perfect]. St.-Petersburg: Nauka, 315-378.
