form	type	evidential	form_base	base_label	form_aux	aux_type	aux_morph	deriv_stem	lex_type	struct	res	cr	exp	semnr	formnr	meaning	lang	idiom	gltc	lat	lon	aff	datapoint	comment	ref	bib	page
-najef-e	perfectoid		-najef-e	resultative participle		copula	reduced	perfective	participle	analytic		current relevance		1	3	cr	Agul	Huppuq	aghu1253	41.66667	47.66667	Lezgic	village Khpyuk	Formed with a participialized form of the Perfect, has a weak inferential meaning.	(Maisak & Merdanova 2016)	maisakmerdanova2016	
-f-e	perfectoid		-f-e	participle		copula	reduced	perfective	participle	analytic			experiential	1	3	cr	Agul	Huppuq	aghu1253	41.66667	47.66667	Lezgic	village Khpyuk		(Maisak To appear)	maisak2020	
-naa/naja	perfectoid	unwitnessed	-naa/naja < -na  		a/aa/aja	copula	reduced	perfective	converb	synthetic	resultative	current relevance		3	3	res, cr, evidential	Agul	Huppuq	aghu1253	41.66667	47.66667	Lezgic	village Khpyuk		(Maisak To appear)	maisak2020	
-wudi	suffix	unwitnessed	-wudi	perfective wudi		no auxiliary	no auxiliary		unclear	synthetic				NA	NA	evidential	Akhvakh	Axaxdɘrɘ	akhv1239	41.6624507	46.6360615	Andic	village Akhakh-Dere		(Creissels 2018)	creissels2018	
-oː/eː/aː/iː/ereː/areː(-hi/he/ho) godi 	perfectoid		-oː/eː/aː/iː/ereː/areː(-hi/he/ho)	general converb	godi	copula	full	bare	converb	analytic		current relevance		1	1	res	Akhvakh	Axaxdɘrɘ	akhv1239	41.6624507	46.6360615	Andic	village Akhakh-Dere	The distribution of allomorphs used to form the General Converb is described in Creissels (2012), also referenced under “Source”.	(Creissels 2018; Creissels 2012)	creissels2018; creissels2012	
-eːhe gʷeda 	perfectoid	unwitnessed	-eːhe 	past converb	gʷeda	copula	full		converb	analytic				1	1	evidential	Akhvakh	Northern Akhvakh	akhv1239	42.40035	46.30369	Andic	glottolog point Akhvakh		(Magomedbekova 1967)	magomedbekova1967	
-dːu	perfectoid	unwitnessed	-dːu	general converb / perfect		no auxiliary	no auxiliary	past	converb	synthetic	resultative			2	1	res, evidential	Andi	Andi	andi1255	42.7856	46.2639	Andic	village Andi		(Kibrik, 1985)	kibrik1985	
-j/nij	perfectoid	unwitnessed	-j/nij	general converb / perfect		no auxiliary	no auxiliary	past	converb	synthetic	resultative	current relevance		3	1	res, cr, evidential	Andi	Zilo	andi1255	42.731394	46.319223	Andic	village Zilo		(Personal fieldwork 2017)		
-d	perfectoid	unwitnessed	-d	general converb / perfect		no auxiliary	no auxiliary	past	converb	synthetic	resultative			2	1	res, evidential	Andi	Rikvani	andi1255	42.782304	46.319372	Andic	village Rikvani		(Verhees 2018)	verhees2018	
-li bi 	perfectoid		-li 	perfective converb	bi	copula	full	perfective	converb	analytic	resultative			1	2	res	Archi	Archi	arch1244	42.0664	46.8678	Lezgic	glottolog point Archi		(Maisak To appear)	maisak2020	
-li	perfectoid	unwitnessed	-li	converb		no auxiliary	no auxiliary	perfective	converb	synthetic	resultative	current relevance		3	2	res, cr, evidential	Archi	Archi	arch1244	42.0664	46.8678	Lezgic	glottolog point Archi		(Maisak To appear)	maisak2020	
-un cm-ugo 	perfectoid	unwitnessed	-un 	past converb	cm-ugo	copula	full	bare	converb	analytic	resultative	current relevance		3	1	res, cr, evidential	Avar	Avar	avar1256	42.43056	46.66639	Avar	glottolog point Avar		(Mallaeva 2007)	mallaeva2007	
-la-[person/class]	suffix	unwitnessed	-la-[person/class]	past unwitnessed		no auxiliary	full		unclear	synthetic				NA	NA	evidential	Avar	Zaqatala	avar1256	41.63361	46.64333	Avar	city Zaqatala		(Saidova 2007)	saidova2007	
-mIš/Ib-[person]	perfectoid		-mIš/Ib-[person]	past participle		no auxiliary	no auxiliary		participle	synthetic		current relevance		1	1	cr	Azerbaijani	Azerbaijani	nort2697	40.97767	46.4737	Turkic	glottolog point North Azerbaijani		(Shiraliev & Sevortyan 1971; Johanson 2018)	shiralievsevortyan1971; johanson2018	
-cm-o ek'ʷa 	perfectoid	unwitnessed	-cm-o 	perfective converb	ek'ʷa	copula	full	past	converb	analytic	resultative	current relevance		3	2	res, cr, evidential	Bagvalal	Kvanada	bagv1239	42.561478	46.17397	Andic	village Kvanada		(Maisak & Tatevosov 2001)	maisaktatevosov2001	
-u-cm ek'ʷa 	perfectoid		-u-cm 	past participle	ek'ʷa	copula	full	past	participle	analytic	resultative			1	2	res	Bagvalal	Kvanada	bagv1239	42.561478	46.17397	Andic	village Kvanada		(Tatevosov 2001)	tatevosov2001	
-no	suffix	unwitnessed	-no 	past participle/converb		no auxiliary	no auxiliary		unclear	synthetic				NA	NA	evidential	Bats	Bats	bats1242	42.1806	45.34397	Nakh	glottolog point Bats	"-no is also the participle/converb suffix, it attaches to aorist to form ""reported aorist"", another morpheme -lo exists, which is homophonous with the subjunctive and forms reported equivalents of tenses other than the aorist."	(Holisky & Gagua 1994)	holiskygagua1994	
-no-cm-a 	perfectoid		-no	past participle/converb	-cm-a	copula	full	aorist	participle	analytic	resultative		experiential	NA	1	res, cr	Bats	Bats	bats1242	42.1806	45.34397	Nakh	glottolog point Bats	Used in negative contexts, similar to the Aorist Reported (aorist + -no).	(Holisky & Gagua 1994)	holiskygagua1994	
-na gey	perfectoid	unwitnessed	-na 	perfective converb	gey	copula	full		converb	analytic		current relevance		2	1	cr, evidential	Bezhta	Bezhta	bezh1248	42.1206	46.03319	Tsezic	glottolog point Bezhta	The copula is optional for indirect evidentiality (Unwitnessed) and obligatory for Perfect.	(Khalilova 2011)	khalilova2011	
-ida // -a/-u ida 	perfectoid	unwitnessed	-ida < -a/-u 	perfect / general converb	ida	copula	full	bare	converb	analytic	resultative	current relevance		3	1	res, cr, evidential	Botlikh	Botlikh	botl1242	42.667813	46.221451	Andic	village Botlikh	Converb is equal to Aorist. Copula is sometimes added directly to the bare stem as a suffix.	(Alekseyev & Verhees To appear)	alexeyevverhees2020	
-vi 	perfectoid		-vi < [pfv.ptcp] 	perfective participle	vi	copula	reduced	perfective	participle	synthetic	resultative	current relevance		2	1	res, cr	Budukh	Budukh	budu1248	41.22722	48.33533	Lezgic	glottolog point Budukh		(Maisak To appear)	maisak2020	
-dːu ide	perfectoid	unwitnessed	-dːu 	past converb	ide	copula	full		converb	analytic				1	1	evidential	Chamalal	Gadiri	cham1309	42.566265	46.065746	Andic	village Gadiri		(Bokarëv 1949)	bokarev1949chamalal	
-eːda / -iːda 	perfectoid	unwitnessed	-eːda / -iːda < -a/i 	past converb	ida	copula	reduced	bare	converb	synthetic				1	1	evidential	Chamalal	Gakvari	cham1309	42.547874	46.032686	Andic	village Verkhnie Gakvari	There are two more allomorphs of the Past Converb, but their form is unreadable in the scan of the book.	(Bokarëv 1949)	bokarev1949chamalal	
-dːa	perfectoid	unwitnessed	-dːa < -t'u	past converb	ida	copula	reduced	past	converb	synthetic				1	1	evidential	Chamalal	Gigatl’	cham1309	42.58136	46.0964	Andic	village Gigatl’		(Bokarëv 1949)	bokarev1949chamalal	
-na	perfectoid		-na	anterior converb		no auxiliary	no auxiliary	perfective	converb	synthetic		current relevance		1	2	cr, evidential	Chechen	Chechen	chec1245	43.5	45.5	Nakh	glottolog point Chechen	Converb is equal to participle. Evidential meaning is described in Desheriev (1963).	(Molochieva 2010; Molochieva & Nichols 2018)	molochieva2010; molochievanichols2018	
-na cm-u 	perfectoid		-na 	anterior converb	cm-u	copula	full	perfective	converb	analytic	resultative			1	2	res	Chechen	Chechen	chec1245	43.5	45.5	Nakh	glottolog point Chechen	Converb is equal to participle.	(Molochieva 2010; Molochieva & Nichols 2018)	molochieva2010; molochievanichols2018	
-ib-zi-cm=da/di/ca<cm>i 	perfectoid		-ib-zi-cm 	perfective participle	#NAME?	person clitic	full	bare	participle	analytic			experiential	1	3	cr	Dargwa	Shiri	darg1241	42.060627	47.589895	Dargwa	village Shiri		(Belyaev 2018)	belyaev2018	
-ib=da/di/Ø 	perfectoid		-ib 	perfective participle	#NAME?	person clitic	defective	bare	participle	synthetic		current relevance		1	3	cr	Dargwa	Shiri	darg1241	42.060627	47.589895	Dargwa	village Shiri	Zero copula in third person.	(Belyaev 2018)	belyaev2018	
-ib=[person] 	perfectoid	unwitnessed	-ib 	perfective participle	Err:520	person clitic	full		participle	analytic		current relevance		2	2	cr, evidential	Dargwa	Icari	darg1241	41.99733	47.5833	Dargwa	village Itsari		(Belyaev 2018)	belyaev2018	
-ib=[person] 	perfectoid	unwitnessed	-ib 	perfective participle	Err:520	person clitic	full		participle	analytic				1	2	evidential	Dargwa	Kaitag	darg1241	42.06139	47.79597	Dargwa	glottolog point Kajtak		(Belyaev 2018)	belyaev2018	
-ib=[person] 	perfectoid	unwitnessed	-ib 	perfective participle	Err:520	person clitic	full		participle	analytic				1	2	evidential	Dargwa	Kubachi	darg1241	42.0856	47.6031	Dargwa	village Kubachi		(Belyaev 2018)	belyaev2018	
-ib-li=[person] 	perfectoid		-ib-li 	perfective converb	Err:520	person clitic	full		converb	analytic	resultative			1	2	res	Dargwa	Icari	darg1241	41.99733	47.5833	Dargwa	village Itsari		(Belyaev 2018)	belyaev2018	
-ib-li=[person] 	perfectoid		-ib-li 	perfective converb	Err:520	person clitic	full		converb	analytic	resultative	current relevance		2	2	res, cr	Dargwa	Kaitag	darg1241	42.06139	47.79597	Dargwa	glottolog point Kajtak		(Belyaev 2018)	belyaev2018	
-ib-li=[person] 	perfectoid		-ib-li 	perfective converb	Err:520	person clitic	full		converb	analytic	resultative	current relevance		2	2	res, cr	Dargwa	Kubachi	darg1241	42.0856	47.6031	Dargwa	village Kubachi		(Belyaev 2018)	belyaev2018	
-ib-li=[person]  	perfectoid	unwitnessed	-ib-li 	perfective converb	Err:520	person clitic	full		converb	analytic	resultative	current relevance		3	1	res, cr, evidential	Dargwa	Akusha	darg1241	42.275664	47.340107	Dargwa	village Akusha		(Belyaev 2018)	belyaev2018	
-ib-li=[person]	perfectoid	unwitnessed	-ib-li 	perfective converb	Err:520	person clitic	full		converb	analytic	resultative	current relevance		3	1	res, cr, evidential	Dargwa	Ashti	darg1241	41.961098	47.502559	Dargwa	village Ashty		(Belyaev 2018)	belyaev2018	
-ib-li=[person] 	perfectoid	unwitnessed	-ib-li 	perfective converb	Err:520	person clitic	full		converb	analytic	resultative	current relevance		3	1	res, cr, evidential	Dargwa	Tanti	darg1241	42.1642	47.3167	Dargwa	village Tanty		(Belyaev 2018)	belyaev2018	
-ib-li=da/di/ca<cm>i 	perfectoid	unwitnessed	-ib-li 	perfective converb	#NAME?	person clitic	full	bare	converb	analytic	resultative			2	3	res, evidential	Dargwa	Shiri	darg1241	42.060627	47.589895	Dargwa	village Shiri		(Belyaev 2018)	belyaev2018	
-si=ra/ri/sa<cm>i 	perfectoid		-si 	past participle	#NAME?	person clitic	full	preterite	participle	analytic			experiential	1	2	cr	Dargwa	Dargwa Standard	darg1241	42.275664	47.340107	Dargwa	glottolog point North Dargwa		(Mutalov 2018)	belyaev2018	
-li=ra/ri/sa<cm>i 	perfectoid	unwitnessed	-li 	past converb	#NAME?	person clitic	full	preterite	converb	analytic	resultative			2	2	res, evidential	Dargwa	Dargwa Standard	darg1241	42.275664	47.340107	Dargwa	glottolog point North Dargwa		(Mutalov 2018)	belyaev2018	
-á/ú cmV=k'-at-á-da	perfectoid		-á/ú 	past converb	cmV=k'-at-á-da	auxiliary	full	past	converb	analytic		current relevance		1	4	cr	Godoberi	Godoberi	ghod1238	42.74276	46.22524	Andic	glottolog point Godoberi	Auxiliary is the present progressive of the existential verb ‘be’.	(Dobrushina & Tatevosov 1996; Kibrik & Tatevosov 1996)	dobrushinatatevosov1996; kibriktatevosov1996	
-á/ú-da 	perfectoid	unwitnessed	-á/ú 	past converb	-da	copula	reduced	past	converb	synthetic		current relevance		2	4	cr, evidential	Godoberi	Godoberi	ghod1238	42.74276	46.22524	Andic	glottolog point Godoberi		(Dobrushina & Tatevosov 1996; Kibrik & Tatevosov 1996)	dobrushinatatevosov1996; kibriktatevosov1996	
-bú-da 	perfectoid		-bú 	past participle	-da	copula	reduced	past	participle	synthetic	resultative			1	4	res	Godoberi	Godoberi	ghod1238	42.74276	46.22524	Andic	glottolog point Godoberi		(Dobrushina & Tatevosov 1996; Kibrik & Tatevosov 1996)	dobrushinatatevosov1996; kibriktatevosov1996	
-bú cmV=k'-at-á-da 	perfectoid	unwitnessed	-bú 	past participle	cmV=k'-at-á-da	auxiliary	full	past	participle	analytic	resultative			2	4	res, evidential	Godoberi	Godoberi	ghod1238	42.74276	46.22524	Andic	glottolog point Godoberi		(Dobrushina & Tatevosov 1996; Kibrik & Tatevosov 1996)	dobrushinatatevosov1996; kibriktatevosov1996	
-s/š/iš goɬ 	perfectoid		-s/š/iš 	resultative participle	goɬ	copula	full		participle	analytic	resultative	current relevance		2	2	res, cr	Hinuq	Hinuq	hinu1240	42.45022	45.80638	Tsezic	glottolog point Hinuq		(Forker 2013)	forker2013	
-no/n	perfectoid	unwitnessed	-no/n	narrative converb		no auxiliary	defective	bare	converb	synthetic				1	2	evidential	Hinuq	Hinuq	hinu1240	42.45022	45.80638	Tsezic	glottolog point Hinuq	Copula reappears under negation.	(Khalilova 2011)	khalilova2011	
-un lo/li 	perfectoid	unwitnessed	-un 	perfective converb	lo/li	copula	full		converb	analytic		current relevance		2	1	cr, evidential	Hunzib	Hunzib	hunz1247	42.08076	46.13691	Tsezic	glottolog point Hunzib		(Khalilova 2011; van den Berg 1995)	khalilova2011; vandenberg1995	
-na<cm>(y) 	perfectoid	unwitnessed	-na<cm>(y) < -na 	anterior converb	#NAME?	copula	reduced	perfective	converb	synthetic	resultative	current relevance		3	1	res, cr, evidential	Ingush	Ingush	ingu1240	43.16667	44.81667	Nakh	glottolog point Ingush	Converb is equal to participle.	(Nichols 2011)	nichols2011	
-cm-oxa ida	perfectoid	unwitnessed	-cm-oxa	past converb	ida	copula	full	past	converb	analytic		current relevance		2	1	cr, evidential	Karata	Karata	kara1474	42.5942	46.3419	Andic	village Karata	Labeled прошедшее несовершенное. It is unclear what that means, and no phrasal examples are provided. Update: has perfect and evidential meaning according to Xalidova (2019). Very likely also has resultative meaning.	(Magomedbekova 1971)	magomedbekova1971	
res.stem-(q)omæ	perfectoid			resultative stem	-(q)omæ	copula	full		stem	analytic	resultative	current relevance		2	2	res, cr	Khinalug	Khinalug	khin1240	41.18014	48.05714	Khinalug	glottolog point Khinalugh	Also expresses spatial deixis “lower than the speaker”. As a result, it does not combine with first person (see page 169 on Present Definite II).	(Kibrik, Kodzasov & Olovjannikova 1972)	kibriketal1972	
res.stem-athmæ	perfectoid			resultative stem	-athmæ	copula	full		stem	analytic	resultative	current relevance		2	2	res, cr	Khinalug	Khinalug	khin1240	41.18014	48.05714	Khinalug	glottolog point Khinalugh		(Kibrik, Kodzasov & Olovjannikova 1972)	kibriketal1972	
džija-cm	perfectoid		džija-cm < -dži		ja-cm	copula	reduced	perfective	converb	synthetic	resultative			1	2	res	Kryz	Alyk	kryt1240	41.1775	48.23694	Lezgic	village Alyk		(Maisak To appear)	maisak2020	
dža	perfectoid		dža < -dži		ja-cm	copula	reduced	perfective	converb	synthetic	resultative	current relevance	experiential	3	2	res, cr	Kryz	Alyk	kryt1240	41.1775	48.23694	Lezgic	village Alyk		(Maisak To appear)	maisak2020	
-ʁAn-[person]	perfectoid	unwitnessed	-ʁAn-[person]	past participle		no auxiliary	no auxiliary		participle	synthetic	resultative	current relevance		3	2	res, cr, evidential	Kumyk	Kumyk	kumy1244	43	47	Turkic	glottolog point Kumyk		(Johanson 2018; Abdullaeva et al. 2014)	johanson2018; abdullaevaetal2014	
-Ip tur-a 	perfectoid		-Ip	past converb	tur-a	auxiliary	full		converb	analytic		current relevance		1	2	cr	Kumyk	Kumyk	kumy1244	43	47	Turkic	glottolog point Kumyk		(Johanson 2018; Abdullaeva et al. 2014)	johanson2018; abdullaevaetal2014	
-unu cm-ur 	perfectoid	unwitnessed	-unu 	past gerund	cm-ur	copula	full		converb	analytic		current relevance		2	1	cr, evidential	Lak	Lak	lakk1252	42.13275	47.0809	Lak	glottolog point Lak	Interpretation (at least for transitive verbs) depends on case form of the subject. According to Friedman (1984) there is no “pure resultative” in Lak.	(Friedman 2007)	friedman2007	
-nwa	perfectoid		-nwa < -na 		awa 	copula	reduced	perfective	converb	synthetic	resultative	current relevance		2	1	res, cr	Lezgian	Lezgian	lezg1247	41.51572	47.89507	Lezgic	glottolog point Lezgian	Auxiliary ‘be in’.	(Maisak To appear; Greed 2017)	maisak2020; greed2017	
-Ip(tI)-[person]	perfectoid	unwitnessed	-Ip(tI)-[person] < -Ip 	past converb	tur-a	auxiliary	reduced		converb	synthetic	resultative	current relevance		1	2	res, cr, evidential	Nogai	Nogai	noga1249	43.59168	46.66178	Turkic	glottolog point Nogai	Is said to originate from converb -Ib + auxiliary tur-ur ‘stands’.	(Johanson 2018; Baskakov 1940)	johanson2018; baskakov1940	
-ʁAn-[person]	perfectoid	unwitnessed	-ʁAn-[person]	past participle		no auxiliary	no auxiliary		participle	synthetic	resultative	current relevance		2	2	res, cr, evidential	Nogai	Nogai	noga1249	43.59168	46.66178	Turkic	glottolog point Nogai	No evidential meaning according to Baskakov (1940), though it seems to appear as a narrative tense in the fairy tales he recorded.	(Johanson 2018; Baskakov 1940)	johanson2018; baskakov1940	
-d i 	perfectoid		-d 	perfective participle	i	copula	full	perfective	participle	analytic			experiential	1	2	cr	Rutul	Rutul	rutu1240	41.61866	47.32436	Lezgic	glottolog point Rutul		(Maisak To appear)	maisak2020	
pf.stem a // ʔa	perfectoid			perfective stem	a // ʔa	copula	full	perfective	converb	analytic	resultative	current relevance		2	2	res, cr	Rutul	Rutul	rutu1240	41.61866	47.32436	Lezgic	glottolog point Rutul	Converb is equal to perfective stem.	(Maisak To appear)	maisak2020	
-na	perfectoid		-na < -un 		a	copula	reduced	perfective	converb	synthetic	resultative	current relevance		2	1	res, cr	Tabasaran	Tabasaran	taba1259	42.01976	47.83791	Lezgic	glottolog point Tabasaran		(Maisak To appear)	maisak2020	
-(w)oː	perfectoid	unwitnessed	-(w)oː < o 	past converb / witnessed past	ija	copula	reduced	bare	converb	synthetic	resultative			2	1	res, evidential	Tindi	Tindi	tind1238	42.454716	46.13469	Andic	village Tindi	Copula reappears in negation. Converb is equal to Past.	(Magomedova 2012)	magomedova2007	
pf.stem wo-cm-un	perfectoid		prf.stem	perfective stem	wo-cm-un	copula	full	perfective	converb	analytic	resultative	current relevance		2	2	res, cr	Tsakhur	Mishlesh	tsak1249	41.6649	47.089775	Lezgic	village Mishlesh	Converb is equal to perfective stem and Aorist.	(Maisak To appear; Maisak & Tatevosov 2007)	maisak2020; maisaktatevosov2007	
pf.stem wo-cm	perfectoid	unwitnessed	prf.stem	perfective stem	wo-cm	copula	full	perfective	converb	analytic	resultative	current relevance		3	2	res, cr, evidential	Tsakhur	Mishlesh	tsak1249	41.6649	47.089775	Lezgic	village Mishlesh	Converb is equal to perfective stem and Aorist.	(Maisak To appear; Maisak & Tatevosov 2007)	maisak2020; maisaktatevosov2007	
-no/n	perfectoid	unwitnessed	-no/n	perfective converb		no auxiliary	defective		converb	synthetic				1	1	evidential	Tsez	Tsez	dido1241	42.26458	45.80959	Tsezic	glottolog point Tsez	Copula reappears under negation.	(Khalilova 2011)	khalilova2011	
<person>-ijo	perfectoid		<person>-ijo	substantivized participle		no auxiliary	no auxiliary	perfective	participle	synthetic	resultative	current relevance	experiential	3	2	res, cr	Udi	Udi	udii1243	40.94	47.66833	Lezgic	village Nizh		(Maisak 2016)	maisak2016	
-e=[person]	suffix		-e=[person]			no auxiliary	no auxiliary	perfective	unclear	synthetic	resultative	current relevance	experiential	3	2	res, cr	Udi	Udi	udii1243	40.94	47.66833	Lezgic	village Nizh	Reconstructed as analytic by Maisak (2018: 158), based on negation. Reconstructed form of the lexical verb is the form in -i, which functions as Aorist, Perfective Participle and Aorist Converb.	(Maisak 2018)	maisak2018	
-un goli 	perfectoid		-un 	perfective converb	goli	copula	full		converb	analytic	resultative			1	2	res	Khwarshi	Inkhoqwari	khva1239	42.410888	46.044877	Tsezic	glottolog point Inxokvari	There is also a difficult to evaluate General Resultative Tense with a present tense auxiliary and a future-like meaning. 	(Khalilova 2009)	khalilova2009	
-un	perfectoid	unwitnessed	-un	perfective converb		no auxiliary	no auxiliary		converb	synthetic				1	2	evidential	Khwarshi	Inkhoqwari	khva1239	42.410888	46.044877	Tsezic	glottolog point Inxokvari		(Khalilova 2011)	khalilova2011	
